Month,Total_Energy_Consumption
01/01/1973,7223.873
02/01/1973,6592.366
03/01/1973,6521.439
04/01/1973,5941.729
05/01/1973,6071.94
06/01/1973,5802.683
07/01/1973,5951.909
08/01/1973,6191.657
09/01/1973,5773.515
10/01/1973,6174.862
11/01/1973,6519.033
12/01/1973,6886.904
01/01/1974,6904.043
02/01/1974,6314.3
03/01/1974,6370.767
04/01/1974,5861.066
05/01/1974,5864.485
06/01/1974,5642.248
07/01/1974,5985.353
08/01/1974,6015.502
09/01/1974,5711.198
10/01/1974,6182.018
11/01/1974,6235.546
12/01/1974,6842.659
01/01/1975,7056.118
02/01/1975,6168.996
03/01/1975,6383.482
04/01/1975,5797.914
05/01/1975,5491.667
06/01/1975,5435.627
07/01/1975,5669.107
08/01/1975,5744.318
09/01/1975,5498.393
10/01/1975,5908.704
11/01/1975,5850.411
12/01/1975,6926.691
01/01/1976,7312.324
02/01/1976,6393.452
03/01/1976,6391.633
04/01/1976,5855.319
05/01/1976,5793.322
06/01/1976,5824.544
07/01/1976,6024.682
08/01/1976,5970.726
09/01/1976,5739.519
10/01/1976,6244.598
11/01/1976,6729.925
12/01/1976,7658.479
01/01/1977,7852.451
02/01/1977,6654.863
03/01/1977,6573.861
04/01/1977,5979.305
05/01/1977,5997.456
06/01/1977,6085.89
07/01/1977,6195.785
08/01/1977,6300.623
09/01/1977,6080.223
10/01/1977,6272.418
11/01/1977,6485.295
12/01/1977,7442.248
01/01/1978,7721.485
02/01/1978,7052.381
03/01/1978,6965.503
04/01/1978,6169.931
05/01/1978,6337.994
06/01/1978,6149.904
07/01/1978,6340.19
08/01/1978,6496.081
09/01/1978,6087.552
10/01/1978,6425.237
11/01/1978,6685.469
12/01/1978,7474.491
01/01/1979,8092.205
02/01/1979,7410.205
03/01/1979,7150.421
04/01/1979,6287.42
05/01/1979,6346.644
06/01/1979,6143.07
07/01/1979,6276.536
08/01/1979,6492.996
09/01/1979,6052.908
10/01/1979,6543.22
11/01/1979,6679.042
12/01/1979,7337.632
01/01/1980,7565.016
02/01/1980,7123.145
03/01/1980,7021.907
04/01/1980,6158.453
05/01/1980,6007.37
06/01/1980,5872.463
07/01/1980,6135.448
08/01/1980,6063.599
09/01/1980,5970.443
10/01/1980,6316.59
11/01/1980,6420.238
12/01/1980,7363.795
01/01/1981,7639.252
02/01/1981,6484.509
03/01/1981,6606.21
04/01/1981,5875.206
05/01/1981,5939.55
06/01/1981,5995.702
07/01/1981,6208.435
08/01/1981,6112.916
09/01/1981,5820.751
10/01/1981,6144.075
11/01/1981,6138.31
12/01/1981,7088.566
01/01/1982,7448.166
02/01/1982,6471.248
03/01/1982,6544.007
04/01/1982,6040.586
05/01/1982,5602.379
06/01/1982,5572.673
07/01/1982,5835.852
08/01/1982,5818.627
09/01/1982,5549.273
10/01/1982,5726.507
11/01/1982,5978.943
12/01/1982,6458.452
01/01/1983,6907.502
02/01/1983,6065.647
03/01/1983,6431.871
04/01/1983,5869.679
05/01/1983,5692.724
06/01/1983,5677.988
07/01/1983,5941.322
08/01/1983,6128.631
09/01/1983,5699.808
10/01/1983,5701.452
11/01/1983,5935.601
12/01/1983,6863.357
01/01/1984,7654.075
02/01/1984,6623.097
03/01/1984,6858.673
04/01/1984,6270.456
05/01/1984,6170.762
06/01/1984,6026.485
07/01/1984,6155.513
08/01/1984,6323.114
09/01/1984,5761.176
10/01/1984,5960.973
11/01/1984,6100.793
12/01/1984,6666.436
01/01/1985,7377.254
02/01/1985,6880.264
03/01/1985,6577.553
04/01/1985,6106.13
05/01/1985,6005.352
06/01/1985,5880.48
07/01/1985,6187.443
08/01/1985,6256.987
09/01/1985,5759
10/01/1985,6026.246
11/01/1985,6059.118
12/01/1985,7219.105
01/01/1986,7395.548
02/01/1986,6620.399
03/01/1986,6775.964
04/01/1986,6109.551
05/01/1986,6099.383
06/01/1986,6015.826
07/01/1986,6354.208
08/01/1986,6223.701
09/01/1986,5818.638
10/01/1986,6039.911
11/01/1986,6119.265
12/01/1986,7027.262
01/01/1987,7472.334
02/01/1987,6729.068
03/01/1987,6767.036
04/01/1987,6313.868
05/01/1987,6199.256
06/01/1987,6280.222
07/01/1987,6626.659
08/01/1987,6514.555
09/01/1987,6123.881
10/01/1987,6362.769
11/01/1987,6342.057
12/01/1987,7277.377
01/01/1988,7800.316
02/01/1988,7308.187
03/01/1988,7296.746
04/01/1988,6449.806
05/01/1988,6390.836
06/01/1988,6507.738
07/01/1988,6746.03
08/01/1988,6988.178
09/01/1988,6340.877
10/01/1988,6586.707
11/01/1988,6704.226
12/01/1988,7540.36
01/01/1989,7638.755
02/01/1989,7229.61
03/01/1989,7541.18
04/01/1989,6660.423
05/01/1989,6635.39
06/01/1989,6693.825
07/01/1989,6856.061
08/01/1989,7028.179
09/01/1989,6480.977
10/01/1989,6790.633
11/01/1989,6940.304
12/01/1989,8245.459
01/01/1990,7809.23
02/01/1990,7003.71
03/01/1990,7305.264
04/01/1990,6767.829
05/01/1990,6746.034
06/01/1990,6756.042
07/01/1990,7032.23
08/01/1990,7279.162
09/01/1990,6613.364
10/01/1990,6806.998
11/01/1990,6771.696
12/01/1990,7542.28
01/01/1991,8073.92
02/01/1991,6862.152
03/01/1991,7139.16
04/01/1991,6536.527
05/01/1991,6654.744
06/01/1991,6697.964
07/01/1991,7098.773
08/01/1991,7112.44
09/01/1991,6657.675
10/01/1991,6858.581
11/01/1991,7006.252
12/01/1991,7683.274
01/01/1992,7983.357
02/01/1992,7243.263
03/01/1992,7348.603
04/01/1992,6841.697
05/01/1992,6698.113
06/01/1992,6715.21
07/01/1992,7159.827
08/01/1992,7029.23
09/01/1992,6682.169
10/01/1992,6901.627
11/01/1992,7078.627
12/01/1992,8044.433
01/01/1993,7906.823
02/01/1993,7419.79
03/01/1993,7811.622
04/01/1993,6902.827
05/01/1993,6645.598
06/01/1993,6843.166
07/01/1993,7307.746
08/01/1993,7333.218
09/01/1993,6815.063
10/01/1993,6983.063
11/01/1993,7280.567
12/01/1993,8017.694
01/01/1994,8584.501
02/01/1994,7742.175
03/01/1994,7663.458
04/01/1994,6979.177
05/01/1994,6886.154
06/01/1994,7161.982
07/01/1994,7390.641
08/01/1994,7472.47
09/01/1994,6881.234
10/01/1994,7070.613
11/01/1994,7148.134
12/01/1994,8004.002
01/01/1995,8220.878
02/01/1995,7595.769
03/01/1995,7741.177
04/01/1995,7105.605
05/01/1995,7150.665
06/01/1995,7231.934
07/01/1995,7626.029
08/01/1995,7917.376
09/01/1995,7135.603
10/01/1995,7224.257
11/01/1995,7572.344
12/01/1995,8410.369
01/01/1996,8776.63
02/01/1996,8104.036
03/01/1996,8191.764
04/01/1996,7361.874
05/01/1996,7463.086
06/01/1996,7446.037
07/01/1996,7757.824
08/01/1996,7869.465
09/01/1996,7147.23
10/01/1996,7617.369
11/01/1996,7795.702
12/01/1996,8404.841
01/01/1997,8823.7
02/01/1997,7787.03
03/01/1997,7985.143
04/01/1997,7523.07
05/01/1997,7476.443
06/01/1997,7465.957
07/01/1997,8090.949
08/01/1997,7909.852
09/01/1997,7412.827
10/01/1997,7677.182
11/01/1997,7749.811
12/01/1997,8606.325
01/01/1998,8607.435
02/01/1998,7644.977
03/01/1998,8168.636
04/01/1998,7510.1
05/01/1998,7574.499
06/01/1998,7714.753
07/01/1998,8276.438
08/01/1998,8225.681
09/01/1998,7615.075
10/01/1998,7608.855
11/01/1998,7505.878
12/01/1998,8468.992
01/01/1999,8911.855
02/01/1999,7808.513
03/01/1999,8369.503
04/01/1999,7655.639
05/01/1999,7622.282
06/01/1999,7804.107
07/01/1999,8368.269
08/01/1999,8376.902
09/01/1999,7611.086
10/01/1999,7713.48
11/01/1999,7633.343
12/01/1999,8670.981
01/01/2000,8945.501
02/01/2000,8402.201
03/01/2000,8293.297
04/01/2000,7669.702
05/01/2000,8025.769
06/01/2000,8002.823
07/01/2000,8230.4
08/01/2000,8542.555
09/01/2000,7692.325
10/01/2000,7760.532
11/01/2000,7939.985
12/01/2000,9198.444
01/01/2001,9229.006
02/01/2001,8072.48
03/01/2001,8473.229
04/01/2001,7638.084
05/01/2001,7629.039
06/01/2001,7652.567
07/01/2001,8144.373
08/01/2001,8303.252
09/01/2001,7400.553
10/01/2001,7717.429
11/01/2001,7543.838
12/01/2001,8259.887
01/01/2002,8792.688
02/01/2002,7856.614
03/01/2002,8359.268
04/01/2002,7758.503
05/01/2002,7800.424
06/01/2002,7890.047
07/01/2002,8425.776
08/01/2002,8344.959
09/01/2002,7660.314
10/01/2002,7801.558
11/01/2002,8013.087
12/01/2002,8832.157
01/01/2003,9233.318
02/01/2003,8431.296
03/01/2003,8382.899
04/01/2003,7668.238
05/01/2003,7663.905
06/01/2003,7642.514
07/01/2003,8272.424
08/01/2003,8391.317
09/01/2003,7605.774
10/01/2003,7781.214
11/01/2003,7835.603
12/01/2003,8926.274
01/01/2004,9350.298
02/01/2004,8733.804
03/01/2004,8430.957
04/01/2004,7793.662
05/01/2004,7966.3
06/01/2004,7982.271
07/01/2004,8406.324
08/01/2004,8354.273
09/01/2004,7830.376
10/01/2004,7947.527
11/01/2004,8050.403
12/01/2004,9156.174
01/01/2005,9287.418
02/01/2005,8283.701
03/01/2005,8726.267
04/01/2005,7714.719
05/01/2005,7939.011
06/01/2005,8172.057
07/01/2005,8580.731
08/01/2005,8687.8
09/01/2005,7789.263
10/01/2005,7782.699
11/01/2005,7939.534
12/01/2005,9198.377
01/01/2006,8815.171
02/01/2006,8190.411
03/01/2006,8584.267
04/01/2006,7709.145
05/01/2006,7956.185
06/01/2006,8146.035
07/01/2006,8632.105
08/01/2006,8731.247
09/01/2006,7785.737
10/01/2006,8019.657
11/01/2006,8028.304
12/01/2006,8793.276
01/01/2007,9217.768
02/01/2007,8750.81
03/01/2007,8555.117
04/01/2007,7915.944
05/01/2007,8013.552
06/01/2007,8090.346
07/01/2007,8483.25
08/01/2007,8812.44
09/01/2007,7933.669
10/01/2007,7964.517
11/01/2007,8074.162
12/01/2007,9081.788
01/01/2008,9410.257
02/01/2008,8649.724
03/01/2008,8584.292
04/01/2008,7832.058
05/01/2008,7889.818
06/01/2008,8036.609
07/01/2008,8411.883
08/01/2008,8211.797
09/01/2008,7348.798
10/01/2008,7779.822
11/01/2008,7805.094
12/01/2008,8793.558
01/01/2009,9126.331
02/01/2009,7866.567
03/01/2009,8045.493
04/01/2009,7334.381
05/01/2009,7280.212
06/01/2009,7530.563
07/01/2009,7807.59
08/01/2009,7955.155
09/01/2009,7263.665
10/01/2009,7463.33
11/01/2009,7437.943
12/01/2009,8830.987
01/01/2010,9121.456
02/01/2010,8202.035
03/01/2010,8189.933
04/01/2010,7359.139
05/01/2010,7665.434
06/01/2010,7996.983
07/01/2010,8368.233
08/01/2010,8431.805
09/01/2010,7681.554
10/01/2010,7494.362
11/01/2010,7785.895
12/01/2010,9220.031
01/01/2011,9285.061
02/01/2011,8095.841
03/01/2011,8327.342
04/01/2011,7485.943
05/01/2011,7565.717
06/01/2011,7879.514
07/01/2011,8370.293
08/01/2011,8393.564
09/01/2011,7546.655
10/01/2011,7564.093
11/01/2011,7772.146
12/01/2011,8564.063
01/01/2012,8666.684
02/01/2012,7954.653
03/01/2012,7664.904
04/01/2012,7206.596
05/01/2012,7599.349
06/01/2012,7720.632
07/01/2012,8282.013
08/01/2012,8219.743
09/01/2012,7359.672
10/01/2012,7563.78
11/01/2012,7757.292
12/01/2012,8384.808
01/01/2013,8973.957
02/01/2013,8006.979
03/01/2013,8371.117
04/01/2013,7511.561
05/01/2013,7608.582
06/01/2013,7712.287
07/01/2013,8261.898
08/01/2013,8162.109
09/01/2013,7626.387
10/01/2013,7705.025
11/01/2013,8118.624
12/01/2013,9058.767
01/01/2014,9584.751
02/01/2014,8423.772
03/01/2014,8516.775
04/01/2014,7550.252
05/01/2014,7637.987
06/01/2014,7770.972
07/01/2014,8222.077
08/01/2014,8198.104
09/01/2014,7640.49
10/01/2014,7753.363
11/01/2014,8188.987
12/01/2014,8788.149
01/01/2015,9291.038
02/01/2015,8604.271
03/01/2015,8426.553
04/01/2015,7461.64
05/01/2015,7638.912
06/01/2015,7894.034
07/01/2015,8424.917
08/01/2015,8307.944
09/01/2015,7680.323
10/01/2015,7612.467
11/01/2015,7672.092
12/01/2015,8363.665
01/01/2016,9053.127
02/01/2016,8222.288
03/01/2016,7975.427
04/01/2016,7442.484
05/01/2016,7572.016
06/01/2016,7925.746
07/01/2016,8458.95
08/01/2016,8527.754
09/01/2016,7736.635
10/01/2016,7640.844
11/01/2016,7703.18
12/01/2016,9070.215
01/01/2017,8974.427
02/01/2017,7622.062
03/01/2017,8426.047
04/01/2017,7445.061
05/01/2017,7790.339
06/01/2017,7954.181
07/01/2017,8415.979
08/01/2017,8283.916
09/01/2017,7613.945
10/01/2017,7804.403
11/01/2017,8091.217
12/01/2017,9181.352
01/01/2018,9651.09
02/01/2018,8050.865
03/01/2018,8699.828
04/01/2018,7876.014
05/01/2018,7971.829
06/01/2018,8135.004
07/01/2018,8598.685
08/01/2018,8676.516
09/01/2018,7849.446
10/01/2018,8065.237
11/01/2018,8498.454
12/01/2018,9011.73
01/01/2019,9507.78
02/01/2019,8356.834
03/01/2019,8676.968
04/01/2019,7623.431
05/01/2019,7908.255
06/01/2019,7902.747
07/01/2019,8563.315
08/01/2019,8550.437
09/01/2019,7858.457
10/01/2019,7958.936
11/01/2019,8357.934
12/01/2019,8900.768
01/01/2020,8964.505
02/01/2020,8311.363
03/01/2020,7838.141
